ID,Plot,State,Dom_SPP,Focal_SPP,Transplant,Type,PSF,Census,Date,Surv1,Height,Leaves,Tiller,Long,Short,Surv2,logMass.harv,logMass.both
75,67,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,5.2,4,1,,,1,-0.6204616,-0.936012764
76,67,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,7.3,11,3,,,1,-0.4248589,-0.811723111
77,67,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,6.5,7,1,,,1,-0.552145,-0.58559
78,67,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,5.1,3,1,,,1,-0.574923,-0.546586
79,69,S,BOGR,BOER,BOGR,Live,Away,1,27-Aug-14,1,9.9,5,1,,,1,-0.496827,-0.680314
80,69,S,BOGR,BOER,BOER,Live,Home,1,27-Aug-14,1,3.6,5,1,,,1,-0.7579448,-0.935913452
81,69,S,BOGR,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,9.1,6,1,,,1,-0.2853463,-0.936254837
82,69,S,BOGR,BOGR,BOER,Live,Away,1,27-Aug-14,1,4.3,11,2,,,1,-0.6902179,-0.873746901
83,69,S,BOGR,BOGR,BOGR,Live,Home,1,27-Aug-14,1,6,11,2,,,1,-0.46879,-0.51663
84,69,S,BOGR,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,8.1,12,3,,,1,-0.343133,-0.520106
85,77,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,5.6,10,2,,,1,-0.475298,-0.505486
86,77,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,5.9,6,1,,,1,-0.5603127,-0.936056213
87,77,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,8.5,6,1,,,0,-0.3369025,-0.936217595
88,77,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
89,77,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,0.7,2,1,,,1,-0.646511,-0.424002
90,77,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,7.9,10,2,,,1,-0.437877,-0.569564
91,79,S,BOER,BOER,BOGR,Live,Away,1,27-Aug-14,1,15.7,14,3,,,1,-0.219481,-0.731842
92,79,S,BOER,BOER,BOER,Live,Home,1,27-Aug-14,1,3.6,3,1,,,1,-0.7579448,-0.935913452
93,79,S,BOER,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,6.8,5,1,,,1,-0.4829784,-0.936112076
94,79,S,BOER,BOGR,BOER,Live,Away,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
95,79,S,BOER,BOGR,BOGR,Live,Home,1,27-Aug-14,1,11.3,5,1,,,1,-0.474049,-0.719318
96,79,S,BOER,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,7.2,7,1,,,1,-0.540756,-0.605092
97,89,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,4.6,6,1,,,1,-0.583058,-0.532656
98,89,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,7.3,6,2,,,1,-0.4324369,-0.873933111
99,89,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
100,89,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,1,5.8,2,1,,,0,-0.5689054,-0.936050006
101,89,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,6.2,6,1,,,1,-0.557026,-0.577232
102,89,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,5.4,4,1,,,1,-0.570042,-0.554944
103,90,S,BOER,BOER,BOGR,Live,Away,1,27-Aug-14,1,11.9,9,2,,,1,-0.372797,-0.681004
104,90,S,BOER,BOER,BOER,Live,Home,1,27-Aug-14,1,3.1,5,1,,,1,-0.8009083,-0.935882417
105,90,S,BOER,BOER,BOER,Sterile,Sterile,1,27-Aug-14,1,3.1,6,2,,,1,-0.7933303,-0.873672417
106,90,S,BOER,BOGR,BOER,Live,Away,1,27-Aug-14,1,12.1,15,2,,,1,-0.0199873,-0.874231047
107,90,S,BOER,BOGR,BOGR,Live,Home,1,27-Aug-14,1,11.9,9,2,,,1,-0.372797,-0.681004
108,90,S,BOER,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,8.8,7,1,,,1,-0.514724,-0.649668
109,93,D,NA,BOER,BOGR,Live,Away,1,27-Aug-14,1,6.1,4,1,,,0,-0.558653,-0.574446
110,93,D,NA,BOER,BOER,Live,Home,1,27-Aug-14,1,8.3,9,2,,,1,-0.3465099,-0.873995181
111,93,D,NA,BOER,BOER,Sterile,Sterile,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
112,93,D,NA,BOGR,BOER,Live,Away,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
113,93,D,NA,BOGR,BOGR,Live,Home,1,27-Aug-14,1,4.9,5,1,,,1,-0.578177,-0.541014
114,93,D,NA,BOGR,BOGR,Sterile,Sterile,1,27-Aug-14,1,6.3,3,1,,,1,-0.555399,-0.580018
115,95,S,BOER,BOER,BOGR,Live,Away,1,27-Aug-14,0,,,,,,0,-0.74939,-0.45953
116,95,S,BOER,BOER,BOER,Live,Home,1,27-Aug-14,0,,,,,,0,-1.07486,-0.9979
